haskell-servant 0.19.1-76
haskell-servant-server 0.19.2-135
haskell-sha 1.6.4.4-19
haskell-simple-sendfile 0.2.32-23
haskell-singleton-bool 0.1.7-2
haskell-skylighting 0.14-1
haskell-skylighting-core 0.14-1
haskell-skylighting-format-ansi 0.1-108
haskell-skylighting-format-blaze-html 0.1.1.1-41
haskell-skylighting-format-context 0.1.0.2-73
haskell-skylighting-format-latex 0.1-108
haskell-socks 0.6.1-233
haskell-some 1.0.5-1
haskell-sop-core 0.5.0.2-1
haskell-split 0.2.5-2
haskell-splitmix 0.1.0.5-14
haskell-statevar 1.2.2-2
haskell-streaming-commons 0.2.2.6-22
haskell-strict 0.4.0.1-220
haskell-string-conversions 0.4.0.1-167
haskell-syb 0.7.2.4-2
haskell-tagged 0.8.8-1
haskell-tagsoup 0.14.8-222
haskell-temporary 1.3-573
haskell-texmath 0.12.8.4-4
haskell-text-conversions 0.3.1.1-59
haskell-text-icu 0.8.0.4-13
haskell-text-short 0.1.5-75
haskell-th-abstraction 0.4.5.0-1
haskell-th-compat 0.1.4-39
haskell-th-lift 0.8.4-1
haskell-th-lift-instances 0.1.20-43
haskell-these 1.1.1.1-247
haskell-time-compat 1.9.6.1-93
haskell-time-manager 0.0.1-28
haskell-tls 1.8.0-24
haskell-toml-parser 1.3.1.3-8
haskell-transformers-base 0.4.6-98
haskell-transformers-compat 0.7.2-1
haskell-type-equality 1-12
haskell-typed-process 0.2.11.1-11
haskell-typst 0.3.2.1-17
haskell-typst-symbols 0.1.4-1
haskell-unicode-collation 0.1.3.6-7
haskell-unicode-data 0.4.0.1-29
haskell-unicode-transforms 0.4.0.1-69
haskell-uniplate 1.6.13-213
haskell-unix-compat 0.7.1-6
haskell-unix-time 0.4.12-1
haskell-unliftio 0.2.25.0-6
haskell-unliftio-core 0.2.1.0-1
haskell-unordered-containers 0.2.20-8
haskell-utf8-string 1.0.2-146
haskell-uuid-types 1.0.5.1-12
haskell-vault 0.3.1.5-175
haskell-vector 0.13.1.0-21
haskell-vector-algorithms 0.9.0.1-84
haskell-vector-stream 0.1.0.1-1
haskell-wai 3.2.4-8
haskell-wai-app-static 3.1.8-55
haskell-wai-cors 0.2.7-344
haskell-wai-extra 3.1.14-10
haskell-wai-logger 2.4.0-403
haskell-warp 3.3.30-40
haskell-witherable 0.4.2-91
haskell-word8 0.1.3-22
haskell-xml 1.3.14-30
haskell-xml-conduit 1.9.1.3-40
haskell-xml-types 0.3.8-8
haskell-yaml 0.11.11.2-35
haskell-zip-archive 0.4.3-23
haskell-zlib 0.6.3.0-56
hdparm 9.65-1
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.0.7-1
hslua-cli 1.4.1-36
htop 3.3.0-1
hwdata 0.379-1
hwloc 2.10.0-1
hyphen 2.8.8-5
i3-wm 4.23-1
i3blocks 1.5-4
i3lock-color 2.13.c.5-1
i3status 2.14-1
i7z 0.27.2.git1-8
iana-etc 20231228-1
icu 74.2-1
imagemagick 7.1.1.28-1
imath 3.1.10-1
imlib2 1.12.2-1
intel-ucode 20231114-2
iproute2 6.7.0-1
iptables 1:1.8.10-1
iputils 20240117-1
iso-codes 4.16.0-1
iw 6.7-1
jack2 1.9.22-1
jansson 2.14-2
jasper 4.2.0-1
jbigkit 2.1-7
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
kbd 2.6.4-1
keyutils 1.6.3-2
kguiaddons5 5.115.0-1
kitty 0.31.0-1
kitty-shell-integration 0.31.0-1
kitty-terminfo 0.31.0-1
kmod 31-1
krb5 1.21.2-2
l-smash 2.14.5-3
lame 3.100-4
lapack 3.12.0-3
lcms2 2.16-1
ldns 1.8.3-2
lensfun 1:0.3.4-3
less 1:643-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-3
lib32-curl 8.6.0-3
lib32-e2fsprogs 1.47.0-1
lib32-expat 2.6.0-1
lib32-gcc-libs 13.2.1-5
lib32-glibc 2.39-1
lib32-icu 74.2-1
lib32-keyutils 1.6.3-1
lib32-krb5 1.21.2-1
lib32-libdrm 2.4.119-1
lib32-libelf 0.190-1
lib32-libffi 3.4.4-1
lib32-libglvnd 1.7.0-1
lib32-libidn2 2.3.7-1
lib32-libldap 2.6.6-1
lib32-libnghttp2 1.59.0-2
lib32-libnghttp3 1.1.0-2
lib32-libpciaccess 0.17-1
lib32-libpsl 0.21.2-1
lib32-libssh2 1.11.0-1
lib32-libunistring 1.1-1
lib32-libunwind 1.7.2-1
lib32-libx11 1.8.7-1
lib32-libxau 1.0.11-1
lib32-libxcb 1.16-1
lib32-libxcrypt 4.4.36-1
lib32-libxdamage 1.1.6-1
lib32-libxdmcp 1.1.4-1
lib32-libxext 1.3.5-1
lib32-libxfixes 6.0.1-1
lib32-libxml2 2.12.5-1
lib32-libxshmfence 1.3.2-1
lib32-libxxf86vm 1.1.5-1
lib32-llvm-libs 16.0.6-2
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-2
lib32-mesa 1:23.3.5-1
lib32-ncurses 6.4_20230520-1
lib32-nvidia-utils 545.29.06-1
lib32-openssl 1:3.2.1-1
lib32-vulkan-icd-loader 1.3.276-1
lib32-wayland 1.22.0-1
lib32-xz 5.4.6-1
lib32-zlib 1.3.1-1
lib32-zstd 1.5.5-1
libaio 0.3.113-2
